"1","Blanco","#FFFFFF"
"2","Negro","#000000"
"3","Crepe","#FFC44D"
"4","Cafe","#6F4E37"
"5","Vainilla","#F3E5AB"
"6","Carton","#806C51"
"7","Palo rosa","#DD969C"
"8","Marfil","#E1CC4F"
"9","Mani","#FFFB7E"
"10","Azul celeste","#2271B3"
"11","Transparente (traslúcido)","#FFF0F8"
"12","Hueso","#E6D690"
"13","Fucsia traslúcido","#E387AF"
"14","Amarillo traslúcido","#FFFF95"
"15","Rosado","#FF0080"
"16","Verde menta","#20603D"
"17","Verde oscuro traslúcido","#93D58B"
"18","Azul marino","#252850"
"19","Gris","#9C9C9C"
"20","Hielo","#82A1B1"
"21","Klim","#FFF29F"
